id,hamming_original,accuracy_original,hamming_vae,accuracy_vae
000000,0,1.0,58,0.42000000000000004
000001,0,1.0,70,0.30000000000000004
000002,1,0.99,85,0.15000000000000002
000003,0,1.0,68,0.31999999999999995
000004,0,1.0,76,0.24
000005,0,1.0,89,0.10999999999999999
000006,0,1.0,93,0.06999999999999995
000007,0,1.0,93,0.06999999999999995
000008,0,1.0,85,0.15000000000000002
000009,0,1.0,69,0.31000000000000005
000010,0,1.0,80,0.19999999999999996
000011,0,1.0,69,0.31000000000000005
000012,0,1.0,86,0.14
000013,0,1.0,81,0.18999999999999995
000014,0,1.0,91,0.08999999999999997
000015,0,1.0,84,0.16000000000000003
000016,0,1.0,68,0.31999999999999995
000017,1,0.99,50,0.5
000018,0,1.0,57,0.43000000000000005
000019,0,1.0,76,0.24
000020,0,1.0,80,0.19999999999999996
000021,0,1.0,81,0.18999999999999995
000022,0,1.0,80,0.19999999999999996
000023,1,0.99,72,0.28
000024,0,1.0,88,0.12
000025,0,1.0,96,0.040000000000000036
000026,0,1.0,66,0.33999999999999997
000027,1,0.99,46,0.54
000028,0,1.0,91,0.08999999999999997
000029,0,1.0,80,0.19999999999999996
000030,0,1.0,77,0.22999999999999998
000031,0,1.0,90,0.09999999999999998
000032,0,1.0,91,0.08999999999999997
000033,0,1.0,58,0.42000000000000004
000034,0,1.0,82,0.18000000000000005
000035,0,1.0,91,0.08999999999999997
000036,0,1.0,98,0.020000000000000018
000037,0,1.0,62,0.38
000038,0,1.0,72,0.28
000039,0,1.0,81,0.18999999999999995
000040,0,1.0,80,0.19999999999999996
000041,0,1.0,71,0.29000000000000004
000042,0,1.0,50,0.5
000043,0,1.0,91,0.08999999999999997
000044,0,1.0,37,0.63
000045,0,1.0,90,0.09999999999999998
000046,0,1.0,72,0.28
000047,0,1.0,89,0.10999999999999999
000048,0,1.0,78,0.21999999999999997
000049,0,1.0,93,0.06999999999999995
000050,0,1.0,73,0.27
000051,0,1.0,69,0.31000000000000005
000052,0,1.0,82,0.18000000000000005
000053,0,1.0,79,0.20999999999999996
000054,0,1.0,86,0.14
000055,0,1.0,66,0.33999999999999997
000056,0,1.0,86,0.14
000057,0,1.0,95,0.050000000000000044
000058,0,1.0,69,0.31000000000000005
000059,0,1.0,69,0.31000000000000005
000060,0,1.0,66,0.33999999999999997
000061,0,1.0,71,0.29000000000000004
000062,0,1.0,93,0.06999999999999995
000063,0,1.0,57,0.43000000000000005
000064,0,1.0,82,0.18000000000000005
000065,0,1.0,48,0.52
000066,0,1.0,69,0.31000000000000005
000067,1,0.99,63,0.37
000068,0,1.0,65,0.35
000069,0,1.0,93,0.06999999999999995
000070,0,1.0,56,0.43999999999999995
000071,0,1.0,86,0.14
000072,0,1.0,65,0.35
000073,0,1.0,65,0.35
000074,0,1.0,57,0.43000000000000005
000075,0,1.0,77,0.22999999999999998
000076,0,1.0,72,0.28
000077,0,1.0,33,0.6699999999999999
000078,0,1.0,98,0.020000000000000018
000079,0,1.0,91,0.08999999999999997
000080,0,1.0,82,0.18000000000000005
000081,0,1.0,77,0.22999999999999998
000082,0,1.0,73,0.27
000083,0,1.0,74,0.26
000084,1,0.99,34,0.6599999999999999
000085,0,1.0,89,0.10999999999999999
000086,0,1.0,63,0.37
000087,0,1.0,63,0.37
000088,0,1.0,86,0.14
000089,0,1.0,81,0.18999999999999995
000090,0,1.0,86,0.14
000091,0,1.0,55,0.44999999999999996
000092,0,1.0,76,0.24
000093,0,1.0,70,0.30000000000000004
000094,0,1.0,56,0.43999999999999995
000095,0,1.0,79,0.20999999999999996
000096,1,0.99,84,0.16000000000000003
000097,0,1.0,95,0.050000000000000044
000098,0,1.0,66,0.33999999999999997
000099,0,1.0,29,0.71
000100,0,1.0,45,0.55
